"Schwerin, Landeshauptstadt;""4.480"";""2.890"";""1.590"";""35"""
"Segeberg;""7.540"";""5.190"";""2.350"";""31"""
"Siegen-Wittgenstein;""8.670"";""5.920"";""2.750"";""32"""
"Sigmaringen;""2.610"";""2.030"";""580"";""22"""
"Soest;""9.090"";""5.800"";""3.290"";""36"""
"Solingen, Klingenstadt;""6.580"";""3.400"";""3.180"";""48"""
"Sömmerda;""2.270"";""1.520"";""760"";""33"""
"Sonneberg;""1.640"";""1.260"";""390"";""24"""
"Speyer, kreisfreie Stadt;""1.490"";""920"";""570"";""38"""
"Spree-Neiße;""3.650"";""2.220"";""1.430"";""39"""
"St. Wendel;""1.910"";""1.370"";""540"";""28"""
"Stade;""6.730"";""4.360"";""2.370"";""35"""
"Städteregion Aachen;""22.610"";""13.640"";""8.970"";""40"""
"Starnberg;""2.420"";""1.940"";""490"";""20"""
"Steinburg;""4.020"";""2.740"";""1.280"";""32"""
"Steinfurt;""12.150"";""7.640"";""4.510"";""37"""
"Stendal;""5.230"";""3.180"";""2.050"";""39"""
"Stormarn;""4.900"";""3.700"";""1.200"";""25"""
"Straubing-Bogen;""2.190"";""1.810"";""380"";""17"""
"Straubing, Stadt;""1.520"";""1.130"";""390"";""26"""
"Stuttgart, Landeshauptstadt;""16.780"";""10.440"";""6.340"";""38"""
"Südliche Weinstraße;""2.750"";""1.810"";""940"";""34"""
"Südwestpfalz;""1.940"";""1.290"";""650"";""34"""
"Suhl, Stadt;""1.060"";""670"";""380"";""36"""
"Teltow-Fläming;""4.360"";""2.890"";""1.480"";""34"""
"Tirschenreuth;""1.630"";""1.220"";""410"";""25"""
"Traunstein;""3.210"";""2.680"";""530"";""16"""
"Trier-Saarburg;""2.330"";""1.700"";""630"";""27"""
"Trier, kreisfreie Stadt;""3.700"";""2.600"";""1.100"";""30"""
"Tübingen;""4.020"";""3.070"";""950"";""24"""
"Tuttlingen;""3.230"";""2.290"";""940"";""29"""
"Uckermark;""6.220"";""3.220"";""3.000"";""48"""
